Matrix,Tolerance,Method,Iterations,ExecutionTime,RelativeError,RelativeResidual
spa1,1.000000e-04,Jacobi,115,0.098000,1.771281e-03,9.477087e-05
spa1,1.000000e-04,Gauss-Seidel,9,0.012000,1.820594e-02,7.794439e-05
spa1,1.000000e-04,Gradient,143,0.085000,3.457470e-02,9.909687e-05
spa1,1.000000e-04,Conjugate Gradient,49,0.029000,2.078976e-02,9.777927e-05
spa1,1.000000e-06,Jacobi,181,0.148000,1.797930e-05,9.619667e-07
spa1,1.000000e-06,Gauss-Seidel,17,0.016000,1.299694e-04,5.578762e-07
spa1,1.000000e-06,Gradient,3577,1.985000,9.680457e-04,9.980891e-07
spa1,1.000000e-06,Conjugate Gradient,134,0.077000,2.552909e-05,9.741976e-07
spa1,1.000000e-08,Jacobi,247,0.170000,1.824979e-07,9.764392e-09
spa1,1.000000e-08,Gauss-Seidel,24,0.017000,1.709733e-06,7.340378e-09
spa1,1.000000e-08,Gradient,8233,3.307000,9.816364e-06,9.992014e-09
spa1,1.000000e-08,Conjugate Gradient,177,0.068000,1.319840e-07,9.032750e-09
spa1,1.000000e-10,Jacobi,313,0.197000,1.852438e-09,9.911296e-11
spa1,1.000000e-10,Gauss-Seidel,31,0.017000,2.248088e-08,9.651868e-11
spa1,1.000000e-10,Gradient,12919,4.897000,9.820386e-08,9.989995e-11
spa1,1.000000e-10,Conjugate Gradient,200,0.077000,1.203110e-09,7.943592e-11
spa2,1.000000e-04,Jacobi,36,0.159000,1.766247e-03,9.536882e-05
spa2,1.000000e-04,Gauss-Seidel,5,0.024000,2.598896e-03,4.140795e-05
spa2,1.000000e-04,Gradient,161,0.539000,1.812965e-02,9.900952e-05
spa2,1.000000e-04,Conjugate Gradient,42,0.146000,9.821128e-03,9.913569e-05
spa2,1.000000e-06,Jacobi,57,0.252000,1.666756e-05,8.999682e-07
spa2,1.000000e-06,Gauss-Seidel,8,0.039000,5.141641e-05,7.847283e-07
